ProductKey;ProductLabel;ProductName;ProductDescription;ProductSubcategoryKey;Manufacturer;BrandName;ClassID;ClassName;StyleID;StyleName;ColorID;ColorName;Size;SizeRange;SizeUnitMeasureID;Weight;WeightUnitMeasureID;UnitOfMeasureID;UnitOfMeasureName;StockTypeID;StockTypeName;UnitCost;UnitPrice;AvailableForSaleDate;StopSaleDate;Status;ImageURL;ProductURL;ETLLoadID;LoadDate;UpdateDate
873;"0308131";"Contoso Wireless Laser Mouse E50 Grey";"Advanced 2.4 GHz cordless technology makes freedom, hyper-fast scrolling, laser, and cursor control on virtually any surface";22;"Contoso, Ltd";"Contoso";"1";"Economy";"1";"Product0308131";"11";"Grey";"";"";"";;"";"1";"inches";"2";"Mid";10,69;20,96;7/7/2007 00:00:00;;"On";"";"";1;31/3/2009 00:00:00;31/3/2009 00:00:00
874;"0308132";"Contoso Wireless Notebook Optical Mouse X205 Black";"Wireless notebook mouse, long battery life, convenient snap-in receiver";22;"Contoso, Ltd";"Contoso";"3";"Deluxe";"1";"Product0308132";"2";"Black";"";"";"";;"";"1";"inches";"2";"Mid";43,06;129,95;16/6/2009 00:00:00;;"On";"";"";1;31/3/2009 00:00:00;31/3/2009 00:00:00
875;"0308133";"Contoso Wireless Notebook Optical Mouse X205 White";"Wireless notebook mouse, long battery life, convenient snap-in receiver";22;"Contoso, Ltd";"Contoso";"3";"Deluxe";"1";"Product0308133";"8";"White";"";"";"";;"";"1";"inches";"2";"Mid";43,06;129,95;16/6/2009 00:00:00;;"On";"";"";1;31/3/2009 00:00:00;31/3/2009 00:00:00
880;"0308138";"Contoso Optical Wheel OEM PS/2 Mouse E60 Black";"PS/2 mouse, 6 feet mouse cable";22;"Contoso, Ltd";"Contoso";"1";"Economy";"1";"Product0308138";"2";"Black";"";"";"";;"";"1";"inches";"2";"Mid";6,63;13;3/3/2006 00:00:00;;"On";"";"";1;31/3/2009 00:00:00;31/3/2009 00:00:00
884;"0308142";"Contoso Bluetooth Notebook Mouse X305 White";"Transceiver-free wireless connection to your PC with Bluetooth Technology";22;"Contoso, Ltd";"Contoso";"3";"Deluxe";"1";"Product0308142";"8";"White";"";"";"";;"";"1";"inches";"2";"Mid";49,7;150;21/9/2008 00:00:00;;"On";"";"";1;31/3/2009 00:00:00;31/3/2009 00:00:00
886;"0308144";"Contoso Bluetooth Notebook Mouse X305 Grey";"Transceiver-free wireless connection to your PC with Bluetooth Technology";22;"Contoso, Ltd";"Contoso";"3";"Deluxe";"1";"Product0308144";"11";"Grey";"";"";"";;"";"1";"inches";"2";"Mid";49,7;150;21/9/2008 00:00:00;;"On";"";"";1;31/3/2009 00:00:00;31/3/2009 00:00:00
889;"0308147";"Contoso Bluetooth Notebook Mouse E70 Silver";"Transceiver-free wireless connection to your PC with Bluetooth Technology";22;"Contoso, Ltd";"Contoso";"1";"Economy";"1";"Product0308147";"7";"Silver";"";"";"";;"";"1";"inches";"2";"Mid";25,49;50;31/5/2007 00:00:00;;"On";"";"";1;31/3/2009 00:00:00;31/3/2009 00:00:00
891;"0308149";"SV Rechargeable Bluetooth Notebook Mouse E80 Silver";"33 ft range, recharges while in use.";22;"Southridge Video";"Southridge Video";"1";"Economy";"1";"Product0308149";"7";"Silver";"";"";"";;"";"1";"inches";"2";"Mid";30,58;59,99;22/1/2009 00:00:00;;"On";"";"";1;31/3/2009 00:00:00;31/3/2009 00:00:00
893;"0308151";"SV Rechargeable Bluetooth Notebook Mouse E80 White";"33 ft range, recharges while in use.";22;"Southridge Video";"Southridge Video";"1";"Economy";"1";"Product0308151";"8";"White";"";"";"";;"";"1";"inches";"2";"Mid";30,58;59,99;22/1/2009 00:00:00;;"On";"";"";1;31/3/2009 00:00:00;31/3/2009 00:00:00
894;"0308152";"SV Rechargeable Bluetooth Notebook Mouse E80 Grey";"33 ft range, recharges while in use.";22;"Southridge Video";"Southridge Video";"1";"Economy";"1";"Product0308152";"11";"Grey";"";"";"";;"";"1";"inches";"2";"Mid";30,58;59,99;22/1/2009 00:00:00;;"On";"";"";1;31/3/2009 00:00:00;31/3/2009 00:00:00
