StoreKey;GeographyKey;StoreManager;StoreType;StoreName;StoreDescription;Status;OpenDate;CloseDate;EntityKey;ZipCode;ZipCodeExtension;StorePhone;StoreFax;AddressLine1;AddressLine2;CloseReason;EmployeeCount;SellingAreaSize;LastRemodelDate;GeoLocation;Geometry;ETLLoadID;LoadDate;UpdateDate
15;678;48;"Store";"Contoso Renton Store";"Contoso Renton Store";"On";24/2/2004 00:00:00;;649;97001;97015;"424-555-0189";"424-555-0189";"Renton,Citycenter";"Renton,Citycenter";"";22;500;17/6/2009 00:00:00;"E6100000010CCA54C1A8A4BE47406ABC7493188C5EC0";"00000000010C6ABC7493188C5EC0CA54C1A8A4BE4740";1;10/7/2009 00:00:00;17/6/2009 00:00:00
17;551;135;"Store";"Contoso Spokane Store";"Contoso Spokane Store";"On";26/3/2004 00:00:00;;651;97001;97017;"984-555-0185";"984-555-0185";"Logan Ave  Shopping mall";"Logan Ave  Shopping mall";"";25;700;17/6/2009 00:00:00;"E6100000010CDC4603780BD44740D122DBF97E5A5DC0";"00000000010CD122DBF97E5A5DC0DC4603780BD44740";1;10/7/2009 00:00:00;17/6/2009 00:00:00
20;824;52;"Store";"Contoso Englewood Store";"Contoso Englewood Store";"On";29/9/2004 00:00:00;;654;87001;87001;"435-555-0113";"435-555-0113";"Cherry Hills Village Shopping mall";"Cherry Hills Village Shopping mall";"";33;560;17/6/2009 00:00:00;"E6100000010C24287E8CB9D343402FDD2406813D5AC0";"00000000010C2FDD2406813D5AC024287E8CB9D34340";1;10/7/2009 00:00:00;17/6/2009 00:00:00
22;571;54;"Store";"Contoso Westminster Store";"Contoso Westminster Store";"On";3/12/2004 00:00:00;;656;87001;87003;"925-555-0114";"925-555-0114";"South Central Shopping mall";"South Central Shopping mall";"";22;500;17/6/2009 00:00:00;"E6100000010CD34D621058C1494076FC17080264C4BF";"00000000010C76FC17080264C4BFD34D621058C14940";1;10/7/2009 00:00:00;17/6/2009 00:00:00
25;839;57;"Store";"Contoso Greeley  No.1 Store";"Contoso Greeley  No.1 Store";"On";16/3/2004 00:00:00;;659;80631;80631;"332-555-0150";"332-555-0150";"W 29th Street, Greeley CityCenter";"W 29th Street, Greeley CityCenter";"";25;700;17/6/2009 00:00:00;"E6100000010C787AA52C43344440068195438B2C5AC0";"00000000010C068195438B2C5AC0787AA52C43344440";1;10/7/2009 00:00:00;17/6/2009 00:00:00
27;859;59;"Store";"Contoso Lafayette Store";"Contoso Lafayette Store";"On";18/5/2004 00:00:00;;661;87001;87008;"113-555-0173";"113-555-0173";"Lafayette Downtown";"Lafayette Downtown";"";19;455;17/6/2009 00:00:00;"E6100000010C40A4DFBE0E34444065AA605452B755C0";"00000000010C65AA605452B755C040A4DFBE0E344440";1;10/7/2009 00:00:00;17/6/2009 00:00:00
30;829;62;"Store";"Contoso Fort Collins Store";"Contoso Fort Collins Store";"On";21/8/2004 00:00:00;;664;87001;87011;"656-555-0119";"656-555-0119";"Old Town West ST";"Old Town West ST";"";22;500;17/6/2009 00:00:00;"E6100000010CF0164850FC484440931804560E455AC0";"00000000010C931804560E455AC0F0164850FC484440";1;10/5/2009 00:00:00;17/6/2009 00:00:00
32;877;63;"Store";"Contoso Milliken Store";"Contoso Milliken Store";"On";23/10/2004 00:00:00;;666;87001;87013;"523-555-0175";"523-555-0175";"Milliken Downtown";"Milliken Downtown";"";25;700;17/6/2009 00:00:00;"E6100000010C7CF2B0506B2A4440F4FDD478E9365AC0";"00000000010CF4FDD478E9365AC07CF2B0506B2A4440";1;10/5/2009 00:00:00;17/6/2009 00:00:00
35;818;65;"Store";"Contoso Denver No.2 Store";"Contoso Denver No.2 Store";"On";3/10/2004 00:00:00;;669;87001;87016;"952-555-0178";"952-555-0178";"West Highland Borden Ave";"West Highland Borden Ave";"";19;455;17/6/2009 00:00:00;"E6100000010C0E2DB29DEFE74340931804560E455AC0";"E6100000010C931804560E455AC00E2DB29DEFE74340";1;10/5/2009 00:00:00;17/6/2009 00:00:00
37;803;66;"Store";"Contoso Boulder Store";"Contoso Boulder Store";"On";28/3/2003 00:00:00;;671;87001;87018;"937-555-0137";"937-555-0137";"Transit Village Broadway";"Transit Village Broadway";"";47;1125;17/6/2009 00:00:00;"E6100000010C19E25817B701444060E5D022DB515AC0";"00000000010C60E5D022DB515AC019E25817B7014440";1;10/5/2009 00:00:00;17/6/2009 00:00:00
