Fecha,Dia,Desc,Tipo
1 de Enero,Miércoles,Año Nuevo.,Inamovibles
24 de Febrero,Lunes,Carnaval.,Inamovibles
25 de Febrero,Martes,Carnaval.,Inamovibles
24 de Marzo,Martes,Día Nacional de la Memoria por la Verdad y la Justicia.,Inamovibles
31 de Marzo,Martes,Día del Veterano y de los Caídos en la Guerra de Malvinas.,Inamovibles
10 de Abril,Viernes,Viernes Santo.,Inamovibles
1 de Mayo,Viernes,Día del Trabajador.,Inamovibles
25 de Mayo,Lunes,Día de la Revolución de Mayo.,Inamovibles
20 de Junio,Sábado,Paso a la Inmortalidad del General Manuel Belgrano.,Inamovibles
9 de Julio,Jueves,Día de la Independencia.,Inamovibles
8 de Diciembre,Martes,Inmaculada Concepción de María.,Inamovibles
25 de Diciembre,Viernes,Navidad.,Inamovibles
15 de Junio,Lunes,Paso a la Inmortalidad del Gral. Güemes.,Trasladables
17 de Agosto,Lunes,Paso a la Inmortalidad del General José de San Martín.,Trasladables
12 de Octubre,Lunes,Día del Respeto a la Diversidad Cultural.,Trasladables
23 de Noviembre,Lunes,Día de la Sobernía Nacional,Trasladables
9 de Abril,Jueves,Jueves Santo.,No Laborables
18 de Septiembre,Viernes,Año Nuevo Judío.,No Laborables
19 de Septiembre,Sábado,Año Nuevo Judío.,No Laborables
20 de Septiembre,Domingo,Año Nuevo Judío.,No Laborables
