ProductKey;Product Name;ProductSubcategoryKey;Manufacturer;Brand;Color;Unit Cost;Unit Price;Available Date
743;Contoso Rechargeable Battery E100 Black;22;Contoso, Ltd;Contoso;Black;$6,60;$12,95;16/4/2005
744;Contoso Dual USB Power Adapter - power adapter E300 Black;22;Contoso, Ltd;Contoso;Black;$20,34;$39,90;5/2/2006
745;Contoso Car power adapter M90 Black;22;Contoso, Ltd;Contoso;Black;$9,17;$19,95;3/1/2005
746;Contoso Notebook Peripheral Kit M69 Black;22;Contoso, Ltd;Contoso;Black;$7,59;$16,50;13/7/2006
747;Contoso Mouse Lock Bundle E200 Black;22;Contoso, Ltd;Contoso;Black;$6,60;$12,95;16/4/2006
748;Contoso Education Supplies Bundle E200 Black;22;Contoso, Ltd;Contoso;Black;$6,88;$13,50;2/3/2006
749;Contoso Laptop Starter Bundle M200 Black;22;Contoso, Ltd;Contoso;Black;$7,59;$16,50;13/11/2007
750;Contoso Education Essentials Bundle M300 Black;22;Contoso, Ltd;Contoso;Black;$4,37;$9,50;31/12/2006
751;Contoso Desktop Alternative Bundle E200 Black;22;Contoso, Ltd;Contoso;Black;$5,86;$11,50;16/6/2005
752;Contoso Power Inverter - DC to AC power inverter E900 Black;22;Contoso, Ltd;Contoso;Black;$4,84;$9,50;3/9/2006
753;Contoso Smart Battery M901 Black;22;Contoso, Ltd;Contoso;Black;$5,29;$11,50;28/2/2007
754;Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub E80 Black;22;Contoso, Ltd;Contoso;Black;$15,24;$29,90;13/7/2006
755;Contoso Home/Office Laptop Power Adapter E300 Black;22;Contoso, Ltd;Contoso;Black;$13,00;$25,50;16/9/2006
756;Contoso USB 2.0 Dock Station docking station M800 Black;22;Contoso, Ltd;Contoso;Black;$13,75;$29,90;2/8/2006
757;Contoso Enhanced Capacity Battery M800 Black;22;Contoso, Ltd;Contoso;Black;$12,83;$27,90;13/11/2005
758;Contoso Connectivity Starter Kit Smart Buy M680 Black;22;Contoso, Ltd;Contoso;Black;$12,83;$27,90;15/11/2007
759;Contoso 90W AC/DC Power Adapter E300 Black;22;Contoso, Ltd;Contoso;Black;$6,07;$11,90;16/6/2005
760;Contoso Reserve Pen - Tablet Pen E200 Black;22;Contoso, Ltd;Contoso;Black;$7,09;$13,90;11/4/2009
761;Contoso USB Data Link-direct connect adapter E600 Black;22;Contoso, Ltd;Contoso;Black;$8,62;$16,90;3/7/2006
762;Contoso Primary Extended Capacity Battery Pack - notebook battery X100 Black;22;Contoso, Ltd;Contoso;Black;$11,23;$33,90;30/9/2008
763;Contoso Digital camera accessory kit M200 Black;22;Contoso, Ltd;Contoso;Black;$10,99;$23,90;16/4/2005
764;Contoso Leather Case - case for digital photo camera X20 Black;22;Contoso, Ltd;Contoso;Black;$13,22;$39,90;5/2/2008
765;Contoso Lens cap E80 Black;22;Contoso, Ltd;Contoso;Black;$15,27;$29,95;3/1/2009
766;Contoso Battery charger - bike E200 Black;22;Contoso, Ltd;Contoso;Black;$10,15;$19,90;30/7/2005
767;Contoso USB Optical Mouse E200 Black;22;Contoso, Ltd;Contoso;Black;$7,90;$15,50;16/5/2006
768;Contoso ADSL Modem Splitter/Filter X 1 E100 Black;22;Contoso, Ltd;Contoso;Black;$9,13;$17,90;2/11/2007
769;Contoso ADSL Modem Splitter/Filter X 2 E200 Black;22;Contoso, Ltd;Contoso;Black;$11,68;$22,90;5/5/2008
770;Contoso ADSL Modem Splitter/Filter X 3 E300 Black;22;Contoso, Ltd;Contoso;Black;$26,97;$52,90;31/3/2009
771;Contoso USB Wave Multi-media Keyboard E280 Black;22;Contoso, Ltd;Contoso;Black;$8,11;$15,90;8/8/2006
772;Contoso Cables To Go USB 2.0 Hard Drive Enclosure E920 Black;22;Contoso, Ltd;Contoso;Black;$6,07;$11,90;19/9/2006
773;Contoso USB Wave Multi-media Keyboard E280 Blue;22;Contoso, Ltd;Contoso;Blue;$8,11;$15,90;28/2/2008
774;Contoso USB Optical Mouse E200 Blue;22;Contoso, Ltd;Contoso;Blue;$7,90;$15,50;13/7/2008
775;Contoso Smart Battery M901 Blue;22;Contoso, Ltd;Contoso;Blue;$5,29;$11,50;18/11/2008
776;Contoso Digital Camera Accessory kit M200 Blue;22;Contoso, Ltd;Contoso;Blue;$10,99;$23,90;16/4/2009
777;Contoso Reserve Pen -Tablet Pen E200 Blue;22;Contoso, Ltd;Contoso;Blue;$7,09;$13,90;5/2/2006
778;Contoso Rechargeable Battery E100 White;22;Contoso, Ltd;Contoso;White;$6,60;$12,95;16/4/2005
779;Contoso Dual USB Power Adapter - power adapter E300 White;22;Contoso, Ltd;Contoso;White;$20,34;$39,90;5/2/2006
780;Contoso Car power adapter M90 White;22;Contoso, Ltd;Contoso;White;$9,17;$19,95;3/1/2005
781;Contoso Notebook Peripheral Kit M69 White;22;Contoso, Ltd;Contoso;White;$7,59;$16,50;13/7/2006
